id,buoy_id,timestamp_utc,latitude,longitude,confidence,species,peak_hz,duration_s,sample_rate_hz,clip_path,spectrogram_path,source,notes
KEIKO-01-20260916T073057,KEIKO-01,2026-09-16T07:30:57Z,42.34023,-70.96738,0.85,unknown,162,3.4,8000,clips/KEIKO-01-20260916T073057.wav,spectrograms/KEIKO-01-20260916T073057.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260916T095225,KEIKO-01,2026-09-16T09:52:25Z,42.33817,-70.96936,0.87,unknown,288,3.4,8000,clips/KEIKO-01-20260916T095225.wav,spectrograms/KEIKO-01-20260916T095225.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260916T115029,KEIKO-01,2026-09-16T11:50:29Z,42.35815,-71.08463,0.79,motorboat,109,9.4,8000,clips/KEIKO-01-20260916T115029.wav,spectrograms/KEIKO-01-20260916T115029.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260916T154104,KEIKO-01,2026-09-16T15:41:04Z,42.34216,-70.96960,0.75,unknown,438,4.9,8000,clips/KEIKO-01-20260916T154104.wav,spectrograms/KEIKO-01-20260916T154104.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260916T193833,KEIKO-01,2026-09-16T19:38:33Z,42.35815,-71.08725,0.90,motorboat,135,8.2,8000,clips/KEIKO-01-20260916T193833.wav,spectrograms/KEIKO-01-20260916T193833.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260917T161836,KEIKO-01,2026-09-17T16:18:36Z,42.33653,-70.97174,0.78,unknown,213,1.8,8000,clips/KEIKO-01-20260917T161836.wav,spectrograms/KEIKO-01-20260917T161836.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260917T172336,KEIKO-01,2026-09-17T17:23:36Z,42.35884,-71.08502,0.83,motorboat,88,6.9,8000,clips/KEIKO-01-20260917T172336.wav,spectrograms/KEIKO-01-20260917T172336.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260918T055654,KEIKO-01,2026-09-18T05:56:54Z,42.35801,-71.08458,0.80,motorboat,132,10.0,8000,clips/KEIKO-01-20260918T055654.wav,spectrograms/KEIKO-01-20260918T055654.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260918T151009,KEIKO-01,2026-09-18T15:10:09Z,42.35643,-71.08633,0.64,crew shell,91,7.0,8000,clips/KEIKO-01-20260918T151009.wav,spectrograms/KEIKO-01-20260918T151009.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260919T041624,KEIKO-01,2026-09-19T04:16:24Z,42.35474,-71.09014,0.80,motorboat,74,6.2,8000,clips/KEIKO-01-20260919T041624.wav,spectrograms/KEIKO-01-20260919T041624.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260919T113553,KEIKO-01,2026-09-19T11:35:53Z,42.34127,-70.96597,0.75,unknown,298,3.4,8000,clips/KEIKO-01-20260919T113553.wav,spectrograms/KEIKO-01-20260919T113553.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260919T140058,KEIKO-01,2026-09-19T14:00:58Z,42.34257,-70.97420,0.79,unknown,259,3.4,8000,clips/KEIKO-01-20260919T140058.wav,spectrograms/KEIKO-01-20260919T140058.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260919T144454,KEIKO-01,2026-09-19T14:44:54Z,42.33930,-70.96835,0.76,unknown,382,4.2,8000,clips/KEIKO-01-20260919T144454.wav,spectrograms/KEIKO-01-20260919T144454.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260919T155131,KEIKO-01,2026-09-19T15:51:31Z,42.35873,-71.08581,0.61,crew shell,104,6.1,8000,clips/KEIKO-01-20260919T155131.wav,spectrograms/KEIKO-01-20260919T155131.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260919T191210,KEIKO-01,2026-09-19T19:12:10Z,42.33917,-70.97451,0.87,unknown,331,2.6,8000,clips/KEIKO-01-20260919T191210.wav,spectrograms/KEIKO-01-20260919T191210.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260919T211032,KEIKO-01,2026-09-19T21:10:32Z,42.33655,-70.96751,0.77,unknown,307,2.7,8000,clips/KEIKO-01-20260919T211032.wav,spectrograms/KEIKO-01-20260919T211032.png,synthetic,generated by tools/keiko_data.py synth
KEIKO-01-20260919T234701,KEIKO-01,2026-09-19T23:47:01Z,42.35784,-71.08340,0.72,motorboat,89,11.1,8000,clips/KEIKO-01-20260919T234701.wav,spectrograms/KEIKO-01-20260919T234701.png,synthetic,generated by tools/keiko_data.py synth --site charles
KEIKO-01-20260920T073538,KEIKO-01,2026-09-20T07:35:38Z,42.35720,-71.08680,0.77,humpback whale,349,8.5,44100,clips/KEIKO-01-20260920T073538.wav,spectrograms/KEIKO-01-20260920T073538.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 4 windows
KEIKO-01-20260920T073552,KEIKO-01,2026-09-20T07:35:52Z,42.35720,-71.08680,0.71,humpback whale,341,5.5,44100,clips/KEIKO-01-20260920T073552.wav,spectrograms/KEIKO-01-20260920T073552.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 2 windows
KEIKO-01-20260920T073558,KEIKO-01,2026-09-20T07:35:58Z,42.35720,-71.08680,0.74,humpback whale,347,5.5,44100,clips/KEIKO-01-20260920T073558.wav,spectrograms/KEIKO-01-20260920T073558.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 2 windows
KEIKO-01-20260920T073611,KEIKO-01,2026-09-20T07:36:11Z,42.35720,-71.08680,0.90,humpback whale,348,7.0,44100,clips/KEIKO-01-20260920T073611.wav,spectrograms/KEIKO-01-20260920T073611.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 3 windows
KEIKO-01-20260920T082158,KEIKO-01,2026-09-20T08:21:58Z,42.33000,-70.28000,0.85,humpback whale,308,9.5,44100,clips/KEIKO-01-20260920T082158.wav,spectrograms/KEIKO-01-20260920T082158.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 5 windows
KEIKO-01-20260920T082215,KEIKO-01,2026-09-20T08:22:15Z,42.33000,-70.28000,0.76,humpback whale,346,5.5,44100,clips/KEIKO-01-20260920T082215.wav,spectrograms/KEIKO-01-20260920T082215.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 2 windows
KEIKO-01-20260920T082737,KEIKO-01,2026-09-20T08:27:37Z,42.34000,-70.97000,0.84,humpback whale,308,9.5,44100,clips/KEIKO-01-20260920T082737.wav,spectrograms/KEIKO-01-20260920T082737.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 5 windows
KEIKO-01-20260920T082754,KEIKO-01,2026-09-20T08:27:54Z,42.34000,-70.97000,0.84,humpback whale,346,5.5,44100,clips/KEIKO-01-20260920T082754.wav,spectrograms/KEIKO-01-20260920T082754.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 2 windows
KEIKO-01-20260920T082937,KEIKO-01,2026-09-20T08:29:37Z,42.34000,-70.97000,0.90,humpback whale,308,7.0,44100,clips/KEIKO-01-20260920T082937.wav,spectrograms/KEIKO-01-20260920T082937.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 3 windows
KEIKO-01-20260920T082951,KEIKO-01,2026-09-20T08:29:51Z,42.34000,-70.97000,0.79,humpback whale,346,5.5,44100,clips/KEIKO-01-20260920T082951.wav,spectrograms/KEIKO-01-20260920T082951.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 2 windows
KEIKO-01-20260920T083009,KEIKO-01,2026-09-20T08:30:09Z,42.34000,-70.97000,0.86,humpback whale,349,14.5,44100,clips/KEIKO-01-20260920T083009.wav,spectrograms/KEIKO-01-20260920T083009.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 8 windows
KEIKO-01-20260920T083035,KEIKO-01,2026-09-20T08:30:35Z,42.34000,-70.97000,0.75,humpback whale,346,7.0,44100,clips/KEIKO-01-20260920T083035.wav,spectrograms/KEIKO-01-20260920T083035.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 3 windows
KEIKO-01-20260920T083048,KEIKO-01,2026-09-20T08:30:48Z,42.34000,-70.97000,0.88,humpback whale,349,13.0,44100,clips/KEIKO-01-20260920T083048.wav,spectrograms/KEIKO-01-20260920T083048.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 7 windows
KEIKO-01-20260920T083108,KEIKO-01,2026-09-20T08:31:08Z,42.34000,-70.97000,0.82,humpback whale,345,5.5,44100,clips/KEIKO-01-20260920T083108.wav,spectrograms/KEIKO-01-20260920T083108.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 2 windows
KEIKO-01-20260920T083114,KEIKO-01,2026-09-20T08:31:14Z,42.34000,-70.97000,0.73,humpback whale,347,5.5,44100,clips/KEIKO-01-20260920T083114.wav,spectrograms/KEIKO-01-20260920T083114.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 2 windows
KEIKO-01-20260920T083126,KEIKO-01,2026-09-20T08:31:26Z,42.34000,-70.97000,0.86,humpback whale,349,13.0,44100,clips/KEIKO-01-20260920T083126.wav,spectrograms/KEIKO-01-20260920T083126.png,replay,NPS humpback recording replayed through keiko_pipeline; Megaptera_novaeangliae over 6 windows
KEIKO-01-20260920T124300,KEIKO-01,2026-09-20T12:43:00Z,42.35817,-71.08387,0.75,motorboat,66,10.3,8000,clips/KEIKO-01-20260920T124300.wav,spectrograms/KEIKO-01-20260920T124300.png,synthetic,generated by tools/keiko_data.py synth --site charles
