window_id,clip_id,species,common_name,taxon_group,label,label_id,group,source,location,observation_date,split,clip_offset_s,n_windows_in_clip
20,11,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,3.0,3
21,12,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
22,13,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,2
23,13,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,1.5,2
24,14,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,2
25,14,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,1.5,2
26,15,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,6
27,15,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,1.5,6
28,15,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,3.0,6
29,15,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,4.5,6
30,15,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,6.0,6
31,15,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,7.5,6
32,16,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
33,17,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
34,18,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
35,19,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
36,20,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,2
37,20,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,1.5,2
38,21,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
39,22,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,5
40,22,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,1.5,5
41,22,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,3.0,5
42,22,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,4.5,5
43,22,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,6.0,5
44,23,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
45,24,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:53007,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Western North Atlantic, between Block Canyon and Atlantis Canyon",1953-06-11T00:00:00Z,train,0.0,1
46,25,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
47,26,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
48,27,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,3
49,27,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,3
50,27,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,3.0,3
51,28,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
52,29,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,4
53,29,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,4
54,29,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,3.0,4
55,29,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,4.5,4
56,30,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,2
57,30,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,2
58,31,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
59,32,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
60,33,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,4
61,33,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,4
62,33,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,3.0,4
63,33,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,4.5,4
64,34,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
65,35,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
66,36,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
67,37,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
68,38,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
69,39,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
70,40,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
71,41,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
72,42,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
73,43,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,3
74,43,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,3
75,43,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,3.0,3
76,44,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
77,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,9
78,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,9
79,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,3.0,9
80,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,4.5,9
81,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,6.0,9
82,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,7.5,9
83,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,9.0,9
84,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,10.5,9
85,45,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,12.0,9
86,46,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
87,47,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
88,48,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,5
89,48,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,5
90,48,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,3.0,5
91,48,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,4.5,5
92,48,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,6.0,5
93,49,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,5
94,49,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,5
95,49,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,3.0,5
96,49,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,4.5,5
97,49,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,6.0,5
98,50,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
99,51,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
100,52,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
101,53,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,2
102,53,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,2
103,54,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
104,55,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
105,56,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,2
106,56,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,1.5,2
107,57,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
108,58,Globicephala melas,Long-finned pilot whale,toothed whale,Globicephala_melas,7,watkins:54004,"Watkins Marine Mammal Sound Database (WMMD, ""All Cuts"")","Dildo Arm, Trinity Bay, Newfoundland, Canada",1954-07-18T00:00:00Z,train,0.0,1
