scientific_name,common_name,group,sound_type,freq_range_hz,duration,datasets_containing_it,source_url,survey
Alpheus heterochaelis,Bigclaw snapping shrimp,crustacean,Snap,"2–>200 kHz, main 2–5 kHz",0.5–1 ms,NOAA,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2023.1029003/full,survey_fish_invertebrates
Synalpheus parneomeris,Snapping shrimp,crustacean,Snap,2–200 kHz,—,—,https://www.researchgate.net/publication/252682379,survey_fish_invertebrates
Alpheidae,Snapping shrimp,crustacean,Snap / crackle,~3–13 kHz,—,SanctSound; ReefSet; Koh Man; Polynesia,https://sanctsound.ioos.us/sounds.html,survey_fish_invertebrates
Athanas nitescens,Hooded shrimp,crustacean,Snap,peak 9 kHz and 33 kHz,—,Coquereau 2016,https://www.liabebest.org/production-media/publications/coquereauetal2016.pdf,survey_fish_invertebrates
Maja brachydactyla,Atlantic spider crab,crustacean,Types 1–3 (feeding),3–45 kHz,—,Coquereau 2016,same,survey_fish_invertebrates
Echinus esculentus,Edible sea urchin,echinoderm,Feeding; Moving,feeding peak 46 kHz,—,Coquereau 2016,same,survey_fish_invertebrates
Paracentrotus lividus,Purple sea urchin,echinoderm,Feeding; Moving,45 kHz,—,Coquereau 2016,same,survey_fish_invertebrates
Psammechinus miliaris,Green sea urchin,echinoderm,Feeding; Moving,49 kHz,—,Coquereau 2016,same,survey_fish_invertebrates
Evechinus chloroticus,Kina,echinoderm,Grazing chorus,700–2800 Hz,dusk,DOSITS,https://dosits.org/galleries/audio-gallery/marine-invertebrates/sea-urchin-kina/,survey_fish_invertebrates
Diadema antillarum et al.,Tropical sea urchins,echinoderm,Feeding scrapes,2.3–9.2 kHz,—,—,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2023.1129057/full,survey_fish_invertebrates
Pecten maximus,Great scallop,mollusc,Swimming; coughing,35 kHz; 20 Hz–27 kHz,—,Coquereau; DOSITS,https://dosits.org/galleries/audio-gallery/marine-invertebrates/great-scallop-pecten-maximus/,survey_fish_invertebrates
Mimachlamys varia,Variegated scallop,mollusc,Jumping; swimming,35–37 kHz,—,Coquereau 2016,Coquereau Table 2,survey_fish_invertebrates
Crepidula fornicata,Slipper limpet,mollusc,Moving,45 kHz,—,Coquereau 2016,same,survey_fish_invertebrates
Perna perna,Brown mussel,mollusc,Valve movements,4–6 kHz,—,—,Solé et al. 2023,survey_fish_invertebrates
Homarus americanus,American lobster,crustacean,Buzz,87–261 Hz,~200 ms,—,https://journals.biologists.com/jeb/article/224/6/jeb240747/237913,survey_fish_invertebrates
Homarus gammarus,European lobster,crustacean,Buzz,~100 Hz,~200 ms,Johnshaven,https://arxiv.org/abs/2511.16848,survey_fish_invertebrates
Palinurus elephas,European spiny lobster,crustacean,Antennal rasp,2–75 kHz,—,Jézéquel 2020; DOSITS,https://pmc.ncbi.nlm.nih.gov/articles/PMC7242360/,survey_fish_invertebrates
Panulirus interruptus,California spiny lobster,crustacean,Antennal rasp,—,—,—,https://pubmed.ncbi.nlm.nih.gov/19425682/,survey_fish_invertebrates
Panulirus spp. (Brazil),Spiny lobsters,crustacean,Rasp,—,125–265 pulses/s,—,https://link.springer.com/article/10.1007/s00435-019-00461-5,survey_fish_invertebrates
Hemisquilla californiensis,California mantis shrimp,crustacean,Rumble,20–60 Hz,—,DOSITS,https://dosits.org/galleries/audio-gallery/marine-invertebrates/mantis-shrimp/,survey_fish_invertebrates
Chionoecetes opilio,Snow crab,crustacean,Rasp,—,—,—,https://pubs.aip.org/asa/jasa/article/159/5/4079/3391266,survey_fish_invertebrates
Ocypode spp.,Ghost crab,crustacean,Stridulation,—,—,DOSITS,https://dosits.org/galleries/audio-gallery/marine-invertebrates/,survey_fish_invertebrates
Leocratides kimuraorum,Polychaete worm,annelid,Pops,—,—,DOSITS,same,survey_fish_invertebrates
Chelonia mydas (juvenile),Green sea turtle,reptile,"Pulses, croak, rumble, FM sound, squeaks, grunt",peak 200–400 Hz,—,Charrier 2022/2025,https://www.int-res.com/articles/esr2022/48/n048p031.pdf,survey_fish_invertebrates
Chelonia mydas (hatchling),Green sea turtle,reptile,4 categories,—,—,—,https://bioone.org/journals/copeia/volume-2014/issue-2/CE-13-087/,survey_fish_invertebrates
Dermochelys coriacea,Leatherback,reptile,4 nest sound types,—,—,—,https://bioone.org/journals/chelonian-conservation-and-biology/volume-13/issue-1/CCB-1045.1/,survey_fish_invertebrates
