source,site_id,lat,lon,coord_precision_km,date,species,common_name,taxon_group,n_detections,n_events,ecotypes
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-03,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,4,4,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-05,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-08,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,1,1,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-10,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,2,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-12,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,11,10,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-13,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,2,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-17,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,2,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-19,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,6,6,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-21,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-22,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-05-31,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,2,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-07-25,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,3,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-09-18,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,6,6,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-09-19,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,5,5,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-09-19,Balaenoptera physalus,Fin whale,baleen whale,6,6,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-10-05,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,8,8,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-10-10,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,16,16,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-10-18,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,32,31,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-10-19,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,1,1,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-11-24,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,2,2,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-12-10,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,1,1,
aad,aad:BallenyIslands2015,-65.3557,167.9115,1.0,2015-12-29,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,3,2,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-16,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,8,7,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-16,Balaenoptera physalus,Fin whale,baleen whale,31,5,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-17,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,87,46,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-18,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,57,30,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-19,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,59,24,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-20,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,130,58,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-21,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,277,90,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-22,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,196,73,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-23,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,266,86,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-24,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,120,44,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-25,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,118,44,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-26,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,32,17,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-26,Balaenoptera physalus,Fin whale,baleen whale,15,8,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-27,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,87,36,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-27,Balaenoptera physalus,Fin whale,baleen whale,7,4,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-28,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,113,52,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-29,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,96,49,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-29,Balaenoptera physalus,Fin whale,baleen whale,4,2,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-30,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,95,44,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-31,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,22,16,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-01-31,Balaenoptera physalus,Fin whale,baleen whale,2,2,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-01,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,69,32,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-02,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,176,93,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-02,Balaenoptera physalus,Fin whale,baleen whale,1,1,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-03,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,98,83,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-04,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,115,82,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-04,Balaenoptera physalus,Fin whale,baleen whale,1,1,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-05,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,133,79,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-06,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,93,71,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-07,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,164,88,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-08,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,151,84,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-08,Balaenoptera physalus,Fin whale,baleen whale,34,12,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-09,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,88,60,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-09,Balaenoptera physalus,Fin whale,baleen whale,2,1,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-10,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,185,117,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-10,Balaenoptera physalus,Fin whale,baleen whale,24,10,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-11,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,128,75,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-12,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,299,97,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-13,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,228,116,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-13,Balaenoptera physalus,Fin whale,baleen whale,18,13,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-14,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,361,146,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-14,Balaenoptera physalus,Fin whale,baleen whale,25,10,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-15,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,525,199,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-15,Balaenoptera physalus,Fin whale,baleen whale,10,8,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-16,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,401,182,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-17,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,476,215,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-17,Balaenoptera physalus,Fin whale,baleen whale,4,3,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-18,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,340,193,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-18,Balaenoptera physalus,Fin whale,baleen whale,6,6,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-19,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,284,149,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-20,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,209,131,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-20,Balaenoptera physalus,Fin whale,baleen whale,3,2,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-21,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,405,152,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-21,Balaenoptera physalus,Fin whale,baleen whale,10,4,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-22,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,313,133,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-22,Balaenoptera physalus,Fin whale,baleen whale,49,19,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-23,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,222,91,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-23,Balaenoptera physalus,Fin whale,baleen whale,16,8,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-24,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,206,94,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-24,Balaenoptera physalus,Fin whale,baleen whale,31,12,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-25,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,239,95,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-25,Balaenoptera physalus,Fin whale,baleen whale,50,14,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-26,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,460,128,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-26,Balaenoptera physalus,Fin whale,baleen whale,103,35,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-27,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,214,99,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-27,Balaenoptera physalus,Fin whale,baleen whale,66,20,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-28,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,247,145,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-02-28,Balaenoptera physalus,Fin whale,baleen whale,223,64,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-01,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,257,114,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-01,Balaenoptera physalus,Fin whale,baleen whale,168,36,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-02,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,169,88,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-02,Balaenoptera physalus,Fin whale,baleen whale,109,16,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-03,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,161,100,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-03,Balaenoptera physalus,Fin whale,baleen whale,83,25,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-04,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,121,85,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-04,Balaenoptera physalus,Fin whale,baleen whale,22,10,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-05,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,211,129,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-05,Balaenoptera physalus,Fin whale,baleen whale,41,20,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-06,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,124,92,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-06,Balaenoptera physalus,Fin whale,baleen whale,32,9,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-07,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,251,137,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-07,Balaenoptera physalus,Fin whale,baleen whale,17,6,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-08,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,112,64,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-08,Balaenoptera physalus,Fin whale,baleen whale,12,5,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-09,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,105,65,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-09,Balaenoptera physalus,Fin whale,baleen whale,9,3,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-10,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,101,52,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-10,Balaenoptera physalus,Fin whale,baleen whale,24,6,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-11,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,58,26,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-11,Balaenoptera physalus,Fin whale,baleen whale,17,8,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-12,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,72,31,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-12,Balaenoptera physalus,Fin whale,baleen whale,26,8,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-13,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,51,30,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-13,Balaenoptera physalus,Fin whale,baleen whale,60,22,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-14,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,41,32,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-14,Balaenoptera physalus,Fin whale,baleen whale,61,27,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-15,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,111,71,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-15,Balaenoptera physalus,Fin whale,baleen whale,43,12,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-16,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,130,42,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-16,Balaenoptera physalus,Fin whale,baleen whale,40,12,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-17,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,192,76,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-17,Balaenoptera physalus,Fin whale,baleen whale,157,45,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-18,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,228,126,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-18,Balaenoptera physalus,Fin whale,baleen whale,79,28,
aad,aad:ElephantIsland2013Aural,-61.0147,-55.9755,1.0,2013-03-19,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,188,117,
