clip,window,species,common_name,tape,orig_sr,duration_s,pad_s,gain_db,split
5401800F,3,Megaptera novaeangliae,Humpback whale,54018,14900,11.788,0.0,-1.13,train
5401800F,4,Megaptera novaeangliae,Humpback whale,54018,14900,11.788,0.0,12.51,train
5401800G,0,Megaptera novaeangliae,Humpback whale,54018,14900,7.05,0.0,-6.73,train
5401800G,1,Megaptera novaeangliae,Humpback whale,54018,14900,7.05,0.0,-21.54,train
5401800G,2,Megaptera novaeangliae,Humpback whale,54018,14900,7.05,0.0,1.32,train
5401800G,3,Megaptera novaeangliae,Humpback whale,54018,14900,7.05,0.0,-35.08,train
5401800G,4,Megaptera novaeangliae,Humpback whale,54018,14900,7.05,0.0,-18.07,train
5401800H,0,Megaptera novaeangliae,Humpback whale,54018,14900,10.705,0.0,0.02,train
5401800H,1,Megaptera novaeangliae,Humpback whale,54018,14900,10.705,0.0,13.29,train
5401800H,2,Megaptera novaeangliae,Humpback whale,54018,14900,10.705,0.0,-17.12,train
5401800H,3,Megaptera novaeangliae,Humpback whale,54018,14900,10.705,0.0,6.42,train
5401800H,4,Megaptera novaeangliae,Humpback whale,54018,14900,10.705,0.0,-31.89,train
5401800I,0,Megaptera novaeangliae,Humpback whale,54018,14900,11.258,0.0,0.27,train
5401800I,1,Megaptera novaeangliae,Humpback whale,54018,14900,11.258,0.0,19.36,train
5401800I,2,Megaptera novaeangliae,Humpback whale,54018,14900,11.258,0.0,-0.73,train
5401800I,3,Megaptera novaeangliae,Humpback whale,54018,14900,11.258,0.0,-25.24,train
5401800I,4,Megaptera novaeangliae,Humpback whale,54018,14900,11.258,0.0,-19.83,train
5401800J,0,Megaptera novaeangliae,Humpback whale,54018,14900,14.872,0.0,-5.69,train
5401800J,1,Megaptera novaeangliae,Humpback whale,54018,14900,14.872,0.0,-47.14,train
5401800J,2,Megaptera novaeangliae,Humpback whale,54018,14900,14.872,0.0,3.19,train
5401800J,3,Megaptera novaeangliae,Humpback whale,54018,14900,14.872,0.0,-5.04,train
5401800J,4,Megaptera novaeangliae,Humpback whale,54018,14900,14.872,0.0,-19.56,train
5401800K,0,Megaptera novaeangliae,Humpback whale,54018,14900,7.429,0.0,-24.52,train
5401800K,1,Megaptera novaeangliae,Humpback whale,54018,14900,7.429,0.0,-16.67,train
5401800K,2,Megaptera novaeangliae,Humpback whale,54018,14900,7.429,0.0,-7.1,train
5401800K,3,Megaptera novaeangliae,Humpback whale,54018,14900,7.429,0.0,-23.85,train
5401800K,4,Megaptera novaeangliae,Humpback whale,54018,14900,7.429,0.0,10.1,train
5401800L,0,Megaptera novaeangliae,Humpback whale,54018,14900,19.032,0.0,12.3,train
5401800L,1,Megaptera novaeangliae,Humpback whale,54018,14900,19.032,0.0,5.48,train
5401800L,2,Megaptera novaeangliae,Humpback whale,54018,14900,19.032,0.0,3.39,train
5401800L,3,Megaptera novaeangliae,Humpback whale,54018,14900,19.032,0.0,-11.72,train
5401800L,4,Megaptera novaeangliae,Humpback whale,54018,14900,19.032,0.0,1.11,train
5401800M,0,Megaptera novaeangliae,Humpback whale,54018,14900,4.19,0.0,-29.88,train
5401800M,1,Megaptera novaeangliae,Humpback whale,54018,14900,4.19,0.0,7.72,train
5401800M,2,Megaptera novaeangliae,Humpback whale,54018,14900,4.19,0.0,-22.42,train
5401800N,0,Megaptera novaeangliae,Humpback whale,54018,14900,13.74,0.0,-11.53,train
5401800N,1,Megaptera novaeangliae,Humpback whale,54018,14900,13.74,0.0,-5.71,train
5401800N,2,Megaptera novaeangliae,Humpback whale,54018,14900,13.74,0.0,4.59,train
5401800N,3,Megaptera novaeangliae,Humpback whale,54018,14900,13.74,0.0,-18.43,train
5401800N,4,Megaptera novaeangliae,Humpback whale,54018,14900,13.74,0.0,-11.6,train
5401800O,0,Megaptera novaeangliae,Humpback whale,54018,14900,10.914,0.0,-34.38,train
5401800O,1,Megaptera novaeangliae,Humpback whale,54018,14900,10.914,0.0,-11.86,train
5401800O,2,Megaptera novaeangliae,Humpback whale,54018,14900,10.914,0.0,-26.49,train
5401800O,3,Megaptera novaeangliae,Humpback whale,54018,14900,10.914,0.0,-29.37,train
5401800O,4,Megaptera novaeangliae,Humpback whale,54018,14900,10.914,0.0,4.17,train
5401800P,0,Megaptera novaeangliae,Humpback whale,54018,14900,5.879,0.0,12.85,train
5401800P,1,Megaptera novaeangliae,Humpback whale,54018,14900,5.879,0.0,-3.14,train
5401800P,2,Megaptera novaeangliae,Humpback whale,54018,14900,5.879,0.0,-8.6,train
5401800P,3,Megaptera novaeangliae,Humpback whale,54018,14900,5.879,0.0,0.88,train
5401800Q,0,Megaptera novaeangliae,Humpback whale,54018,14900,9.583,0.0,-3.72,train
5401800Q,1,Megaptera novaeangliae,Humpback whale,54018,14900,9.583,0.0,-7.09,train
5401800Q,2,Megaptera novaeangliae,Humpback whale,54018,14900,9.583,0.0,6.18,train
5401800Q,3,Megaptera novaeangliae,Humpback whale,54018,14900,9.583,0.0,4.44,train
5401800Q,4,Megaptera novaeangliae,Humpback whale,54018,14900,9.583,0.0,-9.24,train
5401800R,0,Megaptera novaeangliae,Humpback whale,54018,14900,8.056,0.0,-3.37,train
5401800R,1,Megaptera novaeangliae,Humpback whale,54018,14900,8.056,0.0,-9.32,train
5401800R,2,Megaptera novaeangliae,Humpback whale,54018,14900,8.056,0.0,-7.78,train
5401800R,3,Megaptera novaeangliae,Humpback whale,54018,14900,8.056,0.0,-10.68,train
5401800R,4,Megaptera novaeangliae,Humpback whale,54018,14900,8.056,0.0,-13.9,train
5401800S,0,Megaptera novaeangliae,Humpback whale,54018,14900,10.947,0.0,-5.64,train
5401800S,1,Megaptera novaeangliae,Humpback whale,54018,14900,10.947,0.0,1.62,train
5401800S,2,Megaptera novaeangliae,Humpback whale,54018,14900,10.947,0.0,-29.87,train
5401800S,3,Megaptera novaeangliae,Humpback whale,54018,14900,10.947,0.0,3.05,train
5401800S,4,Megaptera novaeangliae,Humpback whale,54018,14900,10.947,0.0,-23.06,train
5401800T,0,Megaptera novaeangliae,Humpback whale,54018,14900,9.258,0.0,-21.58,train
5401800T,1,Megaptera novaeangliae,Humpback whale,54018,14900,9.258,0.0,-11.05,train
5401800T,2,Megaptera novaeangliae,Humpback whale,54018,14900,9.258,0.0,-22.72,train
5401800T,3,Megaptera novaeangliae,Humpback whale,54018,14900,9.258,0.0,11.84,train
5401800T,4,Megaptera novaeangliae,Humpback whale,54018,14900,9.258,0.0,7.89,train
55113001,0,Megaptera novaeangliae,Humpback whale,55113,14900,38.383,0.0,-16.91,train
55113001,1,Megaptera novaeangliae,Humpback whale,55113,14900,38.383,0.0,-5.53,train
55113001,2,Megaptera novaeangliae,Humpback whale,55113,14900,38.383,0.0,-5.08,train
55113001,3,Megaptera novaeangliae,Humpback whale,55113,14900,38.383,0.0,6.96,train
55113001,4,Megaptera novaeangliae,Humpback whale,55113,14900,38.383,0.0,-1.09,train
55113002,0,Megaptera novaeangliae,Humpback whale,55113,14900,9.69,0.0,-1.32,train
55113002,1,Megaptera novaeangliae,Humpback whale,55113,14900,9.69,0.0,-18.47,train
55113002,2,Megaptera novaeangliae,Humpback whale,55113,14900,9.69,0.0,-11.67,train
55113002,3,Megaptera novaeangliae,Humpback whale,55113,14900,9.69,0.0,-6.3,train
55113002,4,Megaptera novaeangliae,Humpback whale,55113,14900,9.69,0.0,-13.45,train
55113003,0,Megaptera novaeangliae,Humpback whale,55113,14900,9.145,0.0,-18.55,train
55113003,1,Megaptera novaeangliae,Humpback whale,55113,14900,9.145,0.0,-12.94,train
55113003,2,Megaptera novaeangliae,Humpback whale,55113,14900,9.145,0.0,-8.21,train
55113003,3,Megaptera novaeangliae,Humpback whale,55113,14900,9.145,0.0,-6.36,train
55113003,4,Megaptera novaeangliae,Humpback whale,55113,14900,9.145,0.0,-22.04,train
55113004,0,Megaptera novaeangliae,Humpback whale,55113,14900,9.559,0.0,-32.28,train
55113004,1,Megaptera novaeangliae,Humpback whale,55113,14900,9.559,0.0,-11.11,train
55113004,2,Megaptera novaeangliae,Humpback whale,55113,14900,9.559,0.0,-1.76,train
55113004,3,Megaptera novaeangliae,Humpback whale,55113,14900,9.559,0.0,2.73,train
55113004,4,Megaptera novaeangliae,Humpback whale,55113,14900,9.559,0.0,-17.06,train
55113005,0,Megaptera novaeangliae,Humpback whale,55113,14900,3.367,0.0,9.2,train
55113005,1,Megaptera novaeangliae,Humpback whale,55113,14900,3.367,0.0,-22.45,train
55113006,0,Megaptera novaeangliae,Humpback whale,55113,14900,2.921,0.0,-20.59,train
55113007,0,Megaptera novaeangliae,Humpback whale,55113,14900,27.433,0.0,-5.77,train
55113007,1,Megaptera novaeangliae,Humpback whale,55113,14900,27.433,0.0,-21.65,train
55113007,2,Megaptera novaeangliae,Humpback whale,55113,14900,27.433,0.0,-22.27,train
55113007,3,Megaptera novaeangliae,Humpback whale,55113,14900,27.433,0.0,-8.33,train
55113007,4,Megaptera novaeangliae,Humpback whale,55113,14900,27.433,0.0,-20.25,train
55113008,0,Megaptera novaeangliae,Humpback whale,55113,14900,6.428,0.0,-12.48,train
55113008,1,Megaptera novaeangliae,Humpback whale,55113,14900,6.428,0.0,-2.87,train
55113008,2,Megaptera novaeangliae,Humpback whale,55113,14900,6.428,0.0,-12.66,train
55113008,3,Megaptera novaeangliae,Humpback whale,55113,14900,6.428,0.0,-3.04,train
55113008,4,Megaptera novaeangliae,Humpback whale,55113,14900,6.428,0.0,-17.06,train
55113009,0,Megaptera novaeangliae,Humpback whale,55113,14900,4.862,0.0,-0.47,train
55113009,1,Megaptera novaeangliae,Humpback whale,55113,14900,4.862,0.0,-13.37,train
55113009,2,Megaptera novaeangliae,Humpback whale,55113,14900,4.862,0.0,-2.07,train
5511300A,0,Megaptera novaeangliae,Humpback whale,55113,14900,2.399,0.0,-3.16,train
5511300B,0,Megaptera novaeangliae,Humpback whale,55113,14900,2.577,0.0,-6.26,train
5511300C,0,Megaptera novaeangliae,Humpback whale,55113,14900,5.338,0.0,-20.11,train
5511300C,1,Megaptera novaeangliae,Humpback whale,55113,14900,5.338,0.0,-28.71,train
5511300C,2,Megaptera novaeangliae,Humpback whale,55113,14900,5.338,0.0,-28.93,train
5511300C,3,Megaptera novaeangliae,Humpback whale,55113,14900,5.338,0.0,-25.55,train
5511300D,0,Megaptera novaeangliae,Humpback whale,55113,14900,1.158,0.842,-17.92,train
5511300E,0,Megaptera novaeangliae,Humpback whale,55113,14900,4.008,0.0,-15.79,train
5511300E,1,Megaptera novaeangliae,Humpback whale,55113,14900,4.008,0.0,1.24,train
5511300E,2,Megaptera novaeangliae,Humpback whale,55113,14900,4.008,0.0,-17.21,train
5511300F,0,Megaptera novaeangliae,Humpback whale,55113,14900,23.77,0.0,-23.96,train
5511300F,1,Megaptera novaeangliae,Humpback whale,55113,14900,23.77,0.0,14.94,train
5511300F,2,Megaptera novaeangliae,Humpback whale,55113,14900,23.77,0.0,11.86,train
5511300F,3,Megaptera novaeangliae,Humpback whale,55113,14900,23.77,0.0,-21.52,train
5511300F,4,Megaptera novaeangliae,Humpback whale,55113,14900,23.77,0.0,7.18,train
5511300G,0,Megaptera novaeangliae,Humpback whale,55113,14900,2.29,0.0,-0.82,train
5511300H,0,Megaptera novaeangliae,Humpback whale,55113,14900,1.439,0.56,-26.55,train
5511300I,0,Megaptera novaeangliae,Humpback whale,55113,14900,4.2,0.0,-17.57,train
5511300I,1,Megaptera novaeangliae,Humpback whale,55113,14900,4.2,0.0,-16.07,train
5511300I,2,Megaptera novaeangliae,Humpback whale,55113,14900,4.2,0.0,-16.69,train
5511300J,0,Megaptera novaeangliae,Humpback whale,55113,14900,4.94,0.0,-10.0,train
5511300J,1,Megaptera novaeangliae,Humpback whale,55113,14900,4.94,0.0,-24.62,train
5511300J,2,Megaptera novaeangliae,Humpback whale,55113,14900,4.94,0.0,-10.01,train
5511300K,0,Megaptera novaeangliae,Humpback whale,55113,14900,4.787,0.0,-10.3,train
5511300K,1,Megaptera novaeangliae,Humpback whale,55113,14900,4.787,0.0,-1.84,train
5511300K,2,Megaptera novaeangliae,Humpback whale,55113,14900,4.787,0.0,11.83,train
56015001,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.563,0.437,-11.69,train
56015002,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,2.987,0.0,-21.2,train
56015003,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.223,0.776,-17.1,train
56015004,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.94,0.059,-5.27,train
56015005,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,4.532,0.0,-15.53,train
56015005,1,Eubalaena glacialis,North Atlantic right whale,56015,8000,4.532,0.0,3.67,train
56015005,2,Eubalaena glacialis,North Atlantic right whale,56015,8000,4.532,0.0,-8.52,train
56015006,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,3.4,0.0,-19.54,train
56015006,1,Eubalaena glacialis,North Atlantic right whale,56015,8000,3.4,0.0,1.02,train
56015007,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,3.54,0.0,-13.83,train
56015007,1,Eubalaena glacialis,North Atlantic right whale,56015,8000,3.54,0.0,-0.45,train
56015008,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,2.876,0.0,-22.7,train
56015009,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.133,0.867,-21.25,train
5601500A,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,2.208,0.0,-17.01,train
5601500B,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.254,0.746,-11.74,train
5601500C,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.733,0.267,-14.98,train
5601500D,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.549,0.451,-21.76,train
5601500E,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.758,0.241,-7.33,train
5601500F,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.057,0.943,7.8,train
5601500G,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,2.046,0.0,-25.35,train
5601500H,0,Eubalaena glacialis,North Atlantic right whale,56015,8000,1.209,0.79,-23.13,train
56016001,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.577,0.0,6.79,train
56016002,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.629,0.0,5.6,train
56016006,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.067,0.933,-12.67,train
56016007,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.245,0.0,2.68,train
56016009,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.227,0.772,-6.32,train
5601600A,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.56,0.44,-11.42,train
5601600B,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.019,0.981,-18.17,train
5601600C,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.569,0.431,2.53,train
5601600D,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.048,0.0,-8.95,train
5601600E,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.289,0.711,12.58,train
5601600F,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.133,0.867,-12.64,train
5601600H,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.478,0.522,-45.6,train
5601600I,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.135,0.865,-9.18,train
5601600J,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.986,0.014,10.1,train
5601600K,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.498,0.501,-22.5,train
5601600L,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.265,0.735,-17.61,train
5601600N,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.61,0.0,4.43,train
5601600O,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.486,0.0,-21.21,train
5601600P,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.465,0.534,-21.42,train
5601600Q,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.698,0.0,-24.62,train
5601600R,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,4.959,0.0,-12.22,train
5601600R,1,Eubalaena glacialis,North Atlantic right whale,56016,8000,4.959,0.0,4.03,train
5601600R,2,Eubalaena glacialis,North Atlantic right whale,56016,8000,4.959,0.0,-38.0,train
5601600S,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.553,0.0,-16.9,train
5601600T,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.942,0.058,-22.76,train
5601600U,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.448,0.0,-16.94,train
5601600U,1,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.448,0.0,10.71,train
5601600V,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,0.999,1.001,-12.51,train
5601600W,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,0.958,1.042,-27.86,train
5601600X,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.907,0.0,-19.27,train
5601600Y,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,0.973,1.027,-26.6,train
5601600Z,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.579,0.0,-14.48,train
56016010,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,0.826,1.174,-2.39,train
56016013,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,5.547,0.0,12.58,train
56016013,1,Eubalaena glacialis,North Atlantic right whale,56016,8000,5.547,0.0,-14.68,train
56016013,2,Eubalaena glacialis,North Atlantic right whale,56016,8000,5.547,0.0,-22.87,train
56016013,3,Eubalaena glacialis,North Atlantic right whale,56016,8000,5.547,0.0,15.61,train
56016014,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.503,0.496,-22.72,train
56016015,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.077,0.922,6.99,train
56016016,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.69,0.31,-9.74,train
56016017,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.592,0.408,6.0,train
56016018,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,0.999,1.001,-17.38,train
56016019,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,0.971,1.028,10.51,train
5601601A,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.27,0.0,-27.39,train
5601601A,1,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.27,0.0,-13.94,train
5601601B,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.607,0.393,-4.89,train
5601601C,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.291,0.0,-18.84,train
5601601D,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.54,0.0,-10.47,train
5601601E,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.484,0.516,-17.62,train
5601601F,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.012,0.988,-2.56,train
5601601G,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.208,0.792,11.88,train
5601601H,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,4.306,0.0,-23.05,train
5601601H,1,Eubalaena glacialis,North Atlantic right whale,56016,8000,4.306,0.0,3.52,train
5601601H,2,Eubalaena glacialis,North Atlantic right whale,56016,8000,4.306,0.0,13.16,train
5601601I,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.591,0.409,-6.34,train
5601601J,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.671,0.0,0.29,train
5601601J,1,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.671,0.0,-27.29,train
5601601K,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.485,0.515,-18.02,train
5601601L,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.117,0.882,-23.33,train
5601601M,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.152,0.0,-12.17,train
5601601N,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.735,0.265,11.74,train
5601601O,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.451,0.549,-30.1,train
5601601P,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.764,0.235,-22.12,train
5601601Q,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.849,0.15,-19.91,train
5601601R,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.757,0.243,-28.18,train
5601601S,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.197,0.0,-13.81,train
5601601T,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.535,0.465,-15.7,train
5601601U,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.8,0.0,1.81,train
5601601V,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.712,0.0,-20.21,train
5601601W,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,2.824,0.0,-10.37,train
5601601X,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.07,0.0,-26.2,train
5601601X,1,Eubalaena glacialis,North Atlantic right whale,56016,8000,3.07,0.0,-9.58,train
56016028,0,Eubalaena glacialis,North Atlantic right whale,56016,8000,1.779,0.221,-15.47,train
56017001,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.312,0.688,4.23,train
56017004,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.201,0.798,2.86,train
56017005,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.013,0.987,3.41,train
56017006,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.149,0.851,-9.45,train
56017007,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,3.657,0.0,-20.33,train
56017007,1,Eubalaena glacialis,North Atlantic right whale,56017,10200,3.657,0.0,-24.34,train
56017008,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.633,0.367,-1.8,train
56017009,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.069,0.93,-10.78,train
5601700A,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.314,0.686,-0.03,train
5601700B,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.351,0.649,-3.28,train
5601700C,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,1.748,0.252,4.26,train
5601700D,0,Eubalaena glacialis,North Atlantic right whale,56017,10200,2.144,0.0,-14.3,train
